yyyyWW,Date,Rank,Title,Code,OpenDate,Weekly,Total,Genre
201809,20180226~20180304,2,블랙 팬서,20170561,2018-02-14,699366,5195975,"[{'genreNm': '액션'}, {'genreNm': '드라마'}, {'genreNm': 'SF'}]"
201809,20180226~20180304,3,리틀 포레스트,20170841,2018-02-28,672329,686573,[{'genreNm': '드라마'}]
201809,20180226~20180304,4,월요일이 사라졌다,20177946,2018-02-22,494804,762699,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '범죄'}]"
201809,20180226~20180304,5,셰이프 오브 워터: 사랑의 모양,20173436,2018-02-22,165311,327871,"[{'genreNm': '어드벤처'}, {'genreNm': '판타지'}]"
201809,20180226~20180304,6,나미야 잡화점의 기적,20179731,2018-02-28,155241,157331,"[{'genreNm': '판타지'}, {'genreNm': '드라마'}]"
201809,20180226~20180304,7,레드 스패로,20180341,2018-02-28,81068,81330,[{'genreNm': '스릴러'}]
201809,20180226~20180304,8,50가지 그림자: 해방,20180542,2018-02-21,74613,191205,"[{'genreNm': '드라마'}, {'genreNm': '멜로/로맨스'}, {'genreNm': '스릴러'}]"
201809,20180226~20180304,9,게이트,20189663,2018-02-28,73789,75432,"[{'genreNm': '범죄'}, {'genreNm': '코미디'}]"
201809,20180226~20180304,10,더 포스트,20189861,2018-02-28,72658,77401,"[{'genreNm': '드라마'}, {'genreNm': '스릴러'}]"
201810,20180305~20180311,1,사라진 밤,20178781,2018-03-07,652526,653978,[{'genreNm': '스릴러'}]
201810,20180305~20180311,2,리틀 포레스트,20170841,2018-02-28,436907,1123480,[{'genreNm': '드라마'}]
201810,20180305~20180311,3,툼레이더,20180564,2018-03-08,374967,374967,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}]"
201810,20180305~20180311,4,궁합,20150969,2018-02-28,344812,1269040,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]"
201810,20180305~20180311,5,블랙 팬서,20170561,2018-02-14,144272,5340247,"[{'genreNm': '액션'}, {'genreNm': '드라마'}, {'genreNm': 'SF'}]"
201810,20180305~20180311,6,월요일이 사라졌다,20177946,2018-02-22,109482,872181,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '범죄'}]"
201810,20180305~20180311,7,셰이프 오브 워터: 사랑의 모양,20173436,2018-02-22,101270,429141,"[{'genreNm': '어드벤처'}, {'genreNm': '판타지'}]"
201810,20180305~20180311,8,온리 더 브레이브,20178490,2018-03-07,37931,40003,[{'genreNm': '드라마'}]
201810,20180305~20180311,9,더 포스트,20189861,2018-02-28,34359,111760,"[{'genreNm': '드라마'}, {'genreNm': '스릴러'}]"
201810,20180305~20180311,10,플로리다 프로젝트,20176070,2018-03-07,32766,41099,[{'genreNm': '드라마'}]
201811,20180312~20180318,1,지금 만나러 갑니다,20170669,2018-03-14,867156,880903,[{'genreNm': '멜로/로맨스'}]
201811,20180312~20180318,2,사라진 밤,20178781,2018-03-07,455173,1109151,[{'genreNm': '스릴러'}]
201811,20180312~20180318,3,리틀 포레스트,20170841,2018-02-28,230096,1353576,[{'genreNm': '드라마'}]
201811,20180312~20180318,4,치즈인더트랩,20172244,2018-03-14,159720,161794,"[{'genreNm': '멜로/로맨스'}, {'genreNm': '스릴러'}]"
201811,20180312~20180318,5,허리케인 하이스트,20180302,2018-03-14,158894,159141,"[{'genreNm': '액션'}, {'genreNm': '범죄'}]"
201811,20180312~20180318,6,툼레이더,20180564,2018-03-08,141078,516045,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}]"
201811,20180312~20180318,7,궁합,20150969,2018-02-28,58401,1327441,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]"
201811,20180312~20180318,8,셰이프 오브 워터: 사랑의 모양,20173436,2018-02-22,47010,476151,"[{'genreNm': '어드벤처'}, {'genreNm': '판타지'}]"
201811,20180312~20180318,9,쓰리 빌보드,20178449,2018-03-15,37346,41074,"[{'genreNm': '코미디'}, {'genreNm': '범죄'}, {'genreNm': '드라마'}]"
201811,20180312~20180318,10,블랙 팬서,20170561,2018-02-14,36213,5376460,"[{'genreNm': '액션'}, {'genreNm': '드라마'}, {'genreNm': 'SF'}]"
201812,20180319~20180325,1,지금 만나러 갑니다,20170669,2018-03-14,942843,1823746,[{'genreNm': '멜로/로맨스'}]
201812,20180319~20180325,2,퍼시픽 림: 업라이징,20174603,2018-03-21,858201,858401,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': 'SF'}]"
201812,20180319~20180325,3,사라진 밤,20178781,2018-03-07,178846,1287997,[{'genreNm': '스릴러'}]
201812,20180319~20180325,4,리틀 포레스트,20170841,2018-02-28,112681,1466257,[{'genreNm': '드라마'}]
201812,20180319~20180325,5,콜 미 바이 유어 네임,20178522,2018-03-22,63259,67262,"[{'genreNm': '드라마'}, {'genreNm': '멜로/로맨스'}]"
201812,20180319~20180325,6,곤지암,20180804,2018-03-28,61369,67929,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}]"
201812,20180319~20180325,7,치즈인더트랩,20172244,2018-03-14,58793,220587,"[{'genreNm': '멜로/로맨스'}, {'genreNm': '스릴러'}]"
201812,20180319~20180325,8,미니특공대X,20181366,2018-03-22,52971,53837,[{'genreNm': '애니메이션'}]
201812,20180319~20180325,9,허리케인 하이스트,20180302,2018-03-14,50084,209225,"[{'genreNm': '액션'}, {'genreNm': '범죄'}]"
201812,20180319~20180325,10,쓰리 빌보드,20178449,2018-03-15,35366,76440,"[{'genreNm': '코미디'}, {'genreNm': '범죄'}, {'genreNm': '드라마'}]"
201813,20180326~20180401,1,곤지암,20180804,2018-03-28,1299451,1367380,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}]"
201813,20180326~20180401,2,레디 플레이어 원,20171122,2018-03-28,984512,986709,"[{'genreNm': '액션'}, {'genreNm': 'SF'}, {'genreNm': '어드벤처'}]"
201813,20180326~20180401,3,지금 만나러 갑니다,20170669,2018-03-14,497485,2321231,[{'genreNm': '멜로/로맨스'}]
201813,20180326~20180401,4,7년의 밤,20154908,2018-03-28,413820,418122,"[{'genreNm': '스릴러'}, {'genreNm': '드라마'}]"
201813,20180326~20180401,5,퍼시픽 림: 업라이징,20174603,2018-03-21,193985,1052386,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': 'SF'}]"
201813,20180326~20180401,6,콜 미 바이 유어 네임,20178522,2018-03-22,57929,125191,"[{'genreNm': '드라마'}, {'genreNm': '멜로/로맨스'}]"
201813,20180326~20180401,7,리틀 포레스트,20170841,2018-02-28,29947,1496204,[{'genreNm': '드라마'}]
201813,20180326~20180401,8,미니특공대X,20181366,2018-03-22,29395,83232,[{'genreNm': '애니메이션'}]
201813,20180326~20180401,9,사라진 밤,20178781,2018-03-07,26311,1314308,[{'genreNm': '스릴러'}]
201813,20180326~20180401,10,소공녀,20173962,2018-03-22,19801,42346,"[{'genreNm': '멜로/로맨스'}, {'genreNm': '드라마'}]"
201814,20180402~20180408,1,곤지암,20180804,2018-03-28,881025,2248405,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}]"
201814,20180402~20180408,2,레디 플레이어 원,20171122,2018-03-28,739353,1726062,"[{'genreNm': '액션'}, {'genreNm': 'SF'}, {'genreNm': '어드벤처'}]"
201814,20180402~20180408,3,바람 바람 바람,20153447,2018-04-05,605327,616974,[{'genreNm': '코미디'}]
201814,20180402~20180408,4,지금 만나러 갑니다,20170669,2018-03-14,204504,2525735,[{'genreNm': '멜로/로맨스'}]
201814,20180402~20180408,5,덕구,20181561,2018-04-05,130095,137852,[{'genreNm': '드라마'}]
201814,20180402~20180408,6,7년의 밤,20154908,2018-03-28,95234,513356,"[{'genreNm': '스릴러'}, {'genreNm': '드라마'}]"
201814,20180402~20180408,7,레이디 버드,20178424,2018-04-04,45610,49752,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]"
201814,20180402~20180408,8,번개맨과 신비의 섬,20182021,2018-04-05,35778,36416,"[{'genreNm': '가족'}, {'genreNm': '뮤지컬'}]"
201814,20180402~20180408,9,콜 미 바이 유어 네임,20178522,2018-03-22,30084,155275,"[{'genreNm': '드라마'}, {'genreNm': '멜로/로맨스'}]"
201814,20180402~20180408,10,콰이어트 플레이스,20181788,2018-04-12,21788,21788,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}, {'genreNm': '드라마'}]"
201815,20180409~20180415,1,램페이지,20176917,2018-04-12,686618,686618,[{'genreNm': '액션'}]
201815,20180409~20180415,2,바람 바람 바람,20153447,2018-04-05,392663,1009637,[{'genreNm': '코미디'}]
201815,20180409~20180415,3,레디 플레이어 원,20171122,2018-03-28,340040,2066102,"[{'genreNm': '액션'}, {'genreNm': 'SF'}, {'genreNm': '어드벤처'}]"
201815,20180409~20180415,4,곤지암,20180804,2018-03-28,318853,2567258,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}]"
201815,20180409~20180415,5,콰이어트 플레이스,20181788,2018-04-12,243908,265696,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}, {'genreNm': '드라마'}]"
201815,20180409~20180415,6,"그날, 바다",20182352,2018-04-12,177719,178265,[{'genreNm': '다큐멘터리'}]
201815,20180409~20180415,7,덕구,20181561,2018-04-05,109909,247761,[{'genreNm': '드라마'}]
201815,20180409~20180415,8,지금 만나러 갑니다,20170669,2018-03-14,60705,2586440,[{'genreNm': '멜로/로맨스'}]
201815,20180409~20180415,9,머니백,20165045,2018-04-12,35030,40109,"[{'genreNm': '액션'}, {'genreNm': '드라마'}]"
201815,20180409~20180415,10,레이디 버드,20178424,2018-04-04,27446,77198,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]"
201816,20180416~20180422,1,램페이지,20176917,2018-04-12,572862,1259480,[{'genreNm': '액션'}]
201816,20180416~20180422,2,"그날, 바다",20182352,2018-04-12,207516,385781,[{'genreNm': '다큐멘터리'}]
201816,20180416~20180422,3,콰이어트 플레이스,20181788,2018-04-12,194806,460502,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}, {'genreNm': '드라마'}]"
201816,20180416~20180422,4,레디 플레이어 원,20171122,2018-03-28,156482,2222584,"[{'genreNm': '액션'}, {'genreNm': 'SF'}, {'genreNm': '어드벤처'}]"
