0,1,2
20178161,탐정: 리턴즈,"[{'genreNm': '코미디'}, {'genreNm': '범죄'}]"
20172469,허스토리,[{'genreNm': '드라마'}]
20179086,쥬라기 월드: 폴른 킹덤,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': 'SF'}]"
20184721,시카리오: 데이 오브 솔다도,"[{'genreNm': '액션'}, {'genreNm': '범죄'}, {'genreNm': '드라마'}]"
20184845,미드나잇 선,[{'genreNm': '멜로/로맨스'}]
20184903,오션스8,"[{'genreNm': '액션'}, {'genreNm': '범죄'}]"
20185001,빅샤크: 매직체인지,[{'genreNm': '애니메이션'}]
20180522,앤트맨과 와스프,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': 'SF'}]"
20185341,마녀,"[{'genreNm': '미스터리'}, {'genreNm': '액션'}]"
20181443,스카이스크래퍼,"[{'genreNm': '액션'}, {'genreNm': '스릴러'}]"
20180282,속닥속닥,"[{'genreNm': '공포(호러)'}, {'genreNm': '미스터리'}]"
20174369,변산,[{'genreNm': '드라마'}]
20178161,탐정: 리턴즈,"[{'genreNm': '코미디'}, {'genreNm': '범죄'}]"
20184845,미드나잇 선,[{'genreNm': '멜로/로맨스'}]
20172469,허스토리,[{'genreNm': '드라마'}]
20185001,빅샤크: 매직체인지,[{'genreNm': '애니메이션'}]
20182564,"오늘 밤, 로맨스 극장에서","[{'genreNm': '판타지'}, {'genreNm': '멜로/로맨스'}]"
20183361,인크레더블 2,"[{'genreNm': '애니메이션'}, {'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}, {'genreNm': '가족'}]"
20180522,앤트맨과 와스프,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': 'SF'}]"
20185341,마녀,"[{'genreNm': '미스터리'}, {'genreNm': '액션'}]"
20181443,스카이스크래퍼,"[{'genreNm': '액션'}, {'genreNm': '스릴러'}]"
20188042,독전: 익스텐디드 컷,"[{'genreNm': '범죄'}, {'genreNm': '액션'}]"
20185621,호텔 아르테미스,"[{'genreNm': '액션'}, {'genreNm': '범죄'}]"
20180282,속닥속닥,"[{'genreNm': '공포(호러)'}, {'genreNm': '미스터리'}]"
20184845,미드나잇 선,[{'genreNm': '멜로/로맨스'}]
20174369,변산,[{'genreNm': '드라마'}]
20186001,신은 죽지 않았다 3: 어둠 속의 빛,[{'genreNm': '드라마'}]
20181181,미션 임파서블: 폴아웃,"[{'genreNm': '액션'}, {'genreNm': '스릴러'}]"
20183361,인크레더블 2,"[{'genreNm': '애니메이션'}, {'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}, {'genreNm': '가족'}]"
20170942,인랑,"[{'genreNm': 'SF'}, {'genreNm': '액션'}]"
20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,"[{'genreNm': '애니메이션'}, {'genreNm': '판타지'}, {'genreNm': '어드벤처'}]"
20180522,앤트맨과 와스프,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': 'SF'}]"
20185341,마녀,"[{'genreNm': '미스터리'}, {'genreNm': '액션'}]"
20181443,스카이스크래퍼,"[{'genreNm': '액션'}, {'genreNm': '스릴러'}]"
20186121,어느 가족,[{'genreNm': '드라마'}]
20188042,독전: 익스텐디드 컷,"[{'genreNm': '범죄'}, {'genreNm': '액션'}]"
20186001,신은 죽지 않았다 3: 어둠 속의 빛,[{'genreNm': '드라마'}]
20186202,신과함께-인과 연,"[{'genreNm': '판타지'}, {'genreNm': '드라마'}]"
20181181,미션 임파서블: 폴아웃,"[{'genreNm': '액션'}, {'genreNm': '스릴러'}]"
20183361,인크레더블 2,"[{'genreNm': '애니메이션'}, {'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}, {'genreNm': '가족'}]"
20186501,극장판 헬로카봇 : 백악기 시대,[{'genreNm': '애니메이션'}]
20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,"[{'genreNm': '애니메이션'}, {'genreNm': '판타지'}, {'genreNm': '어드벤처'}]"
20170942,인랑,"[{'genreNm': 'SF'}, {'genreNm': '액션'}]"
20181942,맘마미아!2,[{'genreNm': '뮤지컬'}]
20186121,어느 가족,[{'genreNm': '드라마'}]
20180522,앤트맨과 와스프,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': 'SF'}]"
20185341,마녀,"[{'genreNm': '미스터리'}, {'genreNm': '액션'}]"
20186202,신과함께-인과 연,"[{'genreNm': '판타지'}, {'genreNm': '드라마'}]"
20179101,공작,[{'genreNm': '드라마'}]
